method,group,agent,split_type,split,record_level,n,n_present,compile,sa_pass_soft,sa_pass
Goedel 8B→8B,Lean-specialized,,level,L1,L2,113,113,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,level,L2,L3,52,52,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,level,L3,L4,13,13,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,algebra,,26,26,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,analysis,,28,28,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,combinatorics,,14,14,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,geometry,,24,24,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,number-theory,,19,19,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,probability,,20,20,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,category,topology,,25,25,0.0,0.0,0.0
